"ech","type","date","parcelle","trt","block","sub_ech","poids","vol_saline","Filtre","temoin","run","Plaque_PCR","rep_seq","rep_run","pseudo_count","bact_count","pseudo_rawcount","bact_rawcount","dil_rif","count_rif","dil_tsa","X"
"P121","P121","Seigle","Date 3","10","Seigle",3,1,14.61,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P122","P122","Seigle","Date 3","10","Seigle",3,2,11.7,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P123","P123","Seigle","Date 3","10","Seigle",3,3,14.26,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P124","P124","Seigle","Date 3","11","Seigle_Bru",3,1,13.17,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P125","P125","Seigle","Date 3","11","Seigle_Bru",3,2,13.72,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P126","P126","Seigle","Date 3","11","Seigle_Bru",3,3,7.78,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P127","P127","Seigle","Date 3","15","Seigle",4,1,20.43,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P128","P128","Seigle","Date 3","15","Seigle",4,2,8.52,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P129","P129","Seigle","Date 3","15","Seigle",4,3,10.79,"120",NA,NA,1,"3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P130","P130","Seigle","Date 3","16","Seigle_Bru",4,1,17.97,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P131","P131","Seigle","Date 3","16","Seigle_Bru",4,2,15.01,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P132","P132","Seigle","Date 3","16","Seigle_Bru",4,3,24.33,"120",NA,NA,2,"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P133","P133","Seigle","Date 3","18","Seigle",5,1,10.38,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P134","P134","Seigle","Date 3","18","Seigle",5,2,9.2,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P135","P135","Seigle","Date 3","18","Seigle",5,3,17.59,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P136","P136","Seigle","Date 3","19","Seigle_Bru",5,1,10.15,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P137","P137","Seigle","Date 3","19","Seigle_Bru",5,2,18.19,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P138","P138","Seigle","Date 3","19","Seigle_Bru",5,3,9.75,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P139","P139","Seigle","Date 3","22","Seigle_Bru",6,1,13.95,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P140","P140","Seigle","Date 3","22","Seigle_Bru",6,2,13.8,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P141","P141","Seigle","Date 3","22","Seigle_Bru",6,3,16,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P142","P142","Seigle","Date 3","24","Seigle",6,1,16.04,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P143","P143","Seigle","Date 3","24","Seigle",6,2,12,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P144","P144","Seigle","Date 3","24","Seigle",6,3,16.9,"120",NA,NA,2,"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P145","P145","Seigle","Date 3","3","Seigle_Vert",1,1,4.99,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P146","P146","Seigle","Date 3","3","Seigle_Vert",1,2,8.36,"120",NA,NA,1,"4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
